1181,188,1
885,334,2
2796,906,3
2082,382,4
569,49,5
161,493,6
2415,907,7
2401,371,8
2400,645,9
379,167,10
2136,872,11
1610,321,12
514,85,13
1207,218,14
476,938,15
1673,538,16
2420,254,17
1992,632,18
2488,206,19
1382,557,20
782,130,21
752,977,22
1640,201,23
1425,481,24
1349,647,25
2033,99,26
1344,172,27
1661,935,28
872,899,29
2753,821,30
1629,210,31
586,229,32
1858,972,33
1917,98,34
127,105,35
79,698,36
1676,273,37
1958,676,38
1175,109,39
522,949,40
173,20,41
2890,551,42
2129,631,43
2885,442,44
1546,190,45
605,195,46
979,252,47
584,905,48
801,881,49
2218,876,50
2551,118,51
33,16,52
2733,780,53
2395,270,54
2608,142,55
99,264,56
2233,500,57
1100,34,58
791,470,59
697,325,60
1718,445,61
2208,100,62
491,612,63
1338,280,64
1455,343,65
1516,941,66
320,227,67
1739,715,68
1431,646,69
175,877,70
483,70,71
2993,935,72
622,680,73
1715,738,74
2715,358,75
1431,993,76
2473,554,77
902,284,78
2374,235,79
1816,158,80
1603,492,81
2746,619,82
1396,462,83
136,219,84
2825,357,85
2007,531,86
1449,778,87
334,826,88
1777,555,89
1933,509,90
262,897,91
1102,782,92
2585,891,93
1414,72,94
2616,308,95
1843,728,96
1905,84,97
2528,456,98
2110,450,99
874,565,100
1709,105,101
2961,455,102
1701,125,103
2157,340,104
1139,766,105
888,277,106
1871,174,107
2256,506,108
1007,577,109
2541,349,110
1407,551,111
2013,810,112
841,223,113
960,912,114
1110,990,115
911,458,116
1421,74,117
2140,500,118
989,701,119
1272,14,120
1819,822,121
602,829,122
2615,630,123
2484,728,124
2953,470,125
2114,907,126
1866,798,127
394,884,128
2468,778,129
809,386,130
16,670,131
1745,934,132
2165,60,133
2248,801,134
2481,439,135
2475,376,136
172,533,137
2955,641,138
294,907,139
11,211,140
2851,197,141
1225,960,142
2262,540,143
1997,991,144
1175,218,145
2523,922,146
173,282,147
742,428,148
336,160,149
887,339,150
286,333,151
1618,576,152
1135,18,153
2045,587,154
1200,571,155
516,236,156
540,436,157
2721,300,158
1774,956,159
1487,198,160
1688,525,161
601,597,162
449,539,163
604,963,164
2067,168,165
2702,590,166
1708,812,167
1778,228,168
1003,221,169
1205,496,170
2169,970,171
2361,357,172
1821,119,173
1908,51,174
2844,62,175
662,542,176
2409,855,177
1006,369,178
2485,398,179
843,717,180
198,554,181
2143,876,182
1475,932,183
1898,852,184
568,425,185
127,447,186
1171,680,187
2507,166,188
554,940,189
2485,1,190
1790,594,191
537,732,192
1815,464,193
2092,806,194
2816,500,195
2054,158,196
1403,721,197
436,221,198
1381,23,199
1290,406,200
426,843,201
1224,416,202
376,763,203
79,148,204
641,813,205
954,112,206
1584,57,207
1469,867,208
1687,119,209
1640,205,210
1003,586,211
266,338,212
1022,497,213
1840,241,214
1872,627,215
692,791,216
2768,117,217
2509,731,218
245,85,219
1244,528,220
2784,227,221
152,279,222
2934,134,223
1802,638,224
1884,279,225
1679,40,226
1426,535,227
54,17,228
462,133,229
2275,291,230
1402,508,231
1581,640,232
1994,329,233
1410,208,234
1032,297,235
735,673,236
562,320,237
611,631,238
416,797,239
891,893,240
1291,13,241
1338,578,242
920,972,243
283,142,244
2774,748,245
2667,38,246
722,416,247
1540,173,248
850,329,249
635,22,250
284,973,251
2146,70,252
2164,627,253
2273,837,254
2054,898,255
40,943,256
2017,120,257
2401,217,258
2265,596,259
1932,180,260
1017,509,261
2711,877,262
613,793,263
82,800,264
726,628,265
1859,475,266
1000,447,267
395,291,268
677,856,269
1571,284,270
2263,686,271
1440,211,272
268,340,273
1596,519,274
2819,964,275
1135,39,276
2116,443,277
635,309,278
816,832,279
2094,795,280
2757,397,281
787,807,282
2248,429,283
1434,211,284
1032,250,285
826,283,286
902,109,287
1210,860,288
1102,551,289
541,823,290
1887,271,291
2154,322,292
1876,542,293
1653,737,294
185,975,295
1785,166,296
1910,129,297
2237,673,298
2260,966,299
2029,628,300
1786,270,301
2703,274,302
2108,401,303
532,535,304
2343,553,305
1623,751,306
688,159,307
2883,192,308
174,838,309
2335,117,310
2294,485,311
2607,709,312
2382,91,313
1524,625,314
2799,832,315
998,783,316
2598,832,317
2705,685,318
726,506,319
977,956,320
1068,720,321
2283,384,322
505,974,323
1321,850,324
2966,144,325
330,200,326
2850,680,327
1300,236,328
810,149,329
1152,745,330
1352,626,331
1263,312,332
2789,823,333
2646,319,334
1352,81,335
1564,500,336
941,357,337
1261,50,338
984,326,339
704,333,340
2978,788,341
1019,785,342
1699,250,343
1021,810,344
2247,550,345
1954,914,346
483,523,347
1895,970,348
2492,175,349
2909,854,350
2895,1,351
1813,654,352
1899,931,353
1759,299,354
330,831,355
1487,387,356
238,623,357
2671,950,358
2561,505,359
331,64,360
2325,469,361
2929,524,362
1536,855,363
989,729,364
1307,783,365
1859,637,366
2324,510,367
1128,527,368
2305,739,369
2248,707,370
1343,110,371
1917,347,372
932,579,373
2350,419,374
1839,650,375
1744,571,376
148,216,377
